date,day_of_the_week,work_day,water_intake_L,num_study_sessions,study_time_min,proportion_studying,sleep_hrs,caffiene_mg,screen_time_min,focus_level
4-24-2026,Friday,yes,1.5,2,90,0.09,6.5,200,420,2
4-25-26,Saturday,no,2,3,150,0.16,8,100,380,4
4-26-26,Sunday,no,1.8,2,120,0.13,7.5,100,450,3
4-27-26,Monday,yes,2.5,2,180,0.19,7,200,310,4
4-28-26,Tuesday,no,1.3,1,45,0.05,6,300,480,2
4-29-26,Wednesday,yes,2.2,2,120,0.15,7.5,100,350,3
4-30-26,Thursday,no,1.8,2,100,0.11,7,300,390,3
5-1-26,Friday,yes,1.5,1,60,0.07,6.5,100,420,2
5-2-26,Saturday,no,2.3,1,160,0.18,8.5,0,280,4
5-3-26,Sunday,no,1.6,2,180,0.21,9,200,250,5
5-4-26,Monday,yes,1.4,1,90,0.1,7,300,360,3
5-5-26,Tuesday,no,2,2,50,0.06,6,200,440,2
5-6-26,Wednesday,yes,2,2,120,0.14,7.5,200,330,3
5-7-26,Thursday,no,1.8,2,110,0.12,7.5,100,350,3
5-8-26,Friday,yes,1.5,1,60,0.07,6.5,200,400,2
5-9-26,Saturday,no,2.4,3,170,0.19,9,0,260,4
5-10-26,Sunday,no,2.6,4,200,0.23,8.5,0,240,5
5-11-26,Monday,yes,1.6,2,95,0.11,7,200,350,3
5-12-26,Tuesday,no,1.9,2,115,0.13,7.5,100,310,3
5-13-26,Wednesday,yes,1.5,1,60,0.07,6,300,430,2
5-14-26,Thursday,no,2.1,3,140,0.18,8,100,290,4
5-15-26,Friday,yes,1.4,1,55,0.06,6.5,300,420,2
5-16-26,Saturday,no,2.5,3,180,0.21,9,0,250,5
5-17-26,Sunday,no,2.3,3,160,0.18,8,100,270,4
5-18-26,Monday,yes,1.6,2,90,0.1,7,200,360,3
5-19-26,Tuesday,no,2,2,120,0.14,7.5,100,300,3
5-20-26,Wednesday,yes,1.5,1,55,0.06,6,300,440,2
5-21-26,Thursday,no,2.2,3,150,0.17,8,100,280,4
5-22-26,Friday,yes,1.4,1,50,0.06,9,300,450,2
5-23-26,Saturday,no,2.7,4,210,0.24,9,0,230,5
